,Source Account,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
50,BBCWorld,RT @awzurcher: Expanding my thoughts on Trumps discovery of the undervalued power of the pardon. https://t.co/1CoKLdrIw2 https://t.co/dNVYQ…,Wed Jun 06 21:14:50 +0000 2018,0.3182,0.126,0.874,0.0,51
51,BBCWorld,"The axolotl - an amphibian on the very brink of extinction – is believed to have mystical, healing powers.… https://t.co/ILlZa7w9qC",Wed Jun 06 21:04:07 +0000 2018,0.0,0.0,1.0,0.0,52
52,BBCWorld,Immigrant detained after delivering pizza to Army base https://t.co/bhI0gWCnNA,Wed Jun 06 20:21:49 +0000 2018,-0.4019,0.0,0.748,0.252,53
53,BBCWorld,Trump attacks 'vicious' rumours about Melania https://t.co/fJ9ZDOqzAu,Wed Jun 06 19:06:57 +0000 2018,-0.4404,0.0,0.674,0.326,54
54,BBCWorld,Iraqi parliament orders manual election recount https://t.co/Wup3JOe0lM,Wed Jun 06 18:45:14 +0000 2018,0.0,0.0,1.0,0.0,55
55,BBCWorld,Giuliani: Kim Jong-un 'begged' for summit to take place https://t.co/LRoc7vsJdx,Wed Jun 06 17:43:51 +0000 2018,0.0,0.0,1.0,0.0,56
56,BBCWorld,World Cup 2018: Farmer sews 'longest' German flag https://t.co/i9hOJUcODT,Wed Jun 06 17:13:29 +0000 2018,0.0,0.0,1.0,0.0,57
57,BBCWorld,Jerry Maren: Last Wizard of Oz Munchkin dies aged 98 https://t.co/RoA28fv9Zi,Wed Jun 06 17:03:44 +0000 2018,0.0,0.0,1.0,0.0,58
58,BBCWorld,Trump grants Kardashian's clemency plea https://t.co/1LsfubcKpy,Wed Jun 06 16:51:30 +0000 2018,0.2263,0.275,0.725,0.0,59
59,BBCWorld,"RT @BBCBreaking: After a plea from Kim Kardashian, Donald Trump agrees to free great-grandmother jailed for two decades, US media say https…",Wed Jun 06 16:45:54 +0000 2018,0.2263,0.194,0.684,0.122,60
60,BBCWorld,Myanmar's military accused of violence against Kachin people https://t.co/e8Hc7w2HTy,Wed Jun 06 16:44:17 +0000 2018,-0.743,0.0,0.526,0.474,61
61,BBCWorld,Mandarin Oriental fire: Video shows smoke at London hotel https://t.co/QpxVMM2Q35,Wed Jun 06 16:03:30 +0000 2018,-0.34,0.0,0.789,0.211,62
62,BBCWorld,US child migrants: Sessions defends border separations https://t.co/sdhL1fXqaL,Wed Jun 06 15:58:25 +0000 2018,0.0,0.0,1.0,0.0,63
63,BBCWorld,French My Million lottery player scoops second €1m jackpot https://t.co/EY4ycKXEOC,Wed Jun 06 15:29:14 +0000 2018,0.0,0.0,1.0,0.0,64
64,BBCWorld,Belleau Wood: Why this WWI battle is still important in US https://t.co/LX9Wy6uuZx,Wed Jun 06 15:14:01 +0000 2018,-0.2023,0.125,0.694,0.181,65
65,BBCWorld,Volkswagen admits it can't cope with new emissions tests https://t.co/F9XDn3cgj2,Wed Jun 06 14:54:28 +0000 2018,0.296,0.196,0.804,0.0,66
66,BBCWorld,"🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♂️

https://t.co/b0KyhE4yFQ",Wed Jun 06 14:28:34 +0000 2018,0.0,0.0,1.0,0.0,67
67,BBCWorld,"RT @BBCSport: Why have Argentina cancelled their World Cup friendly against Israel?

The situation explained 👉 https://t.co/0KPwDmgp46 http…",Wed Jun 06 14:23:25 +0000 2018,0.296,0.158,0.743,0.099,68
68,BBCWorld,Pakistan relief after abducted journalist Gul Bukhari is freed https://t.co/8fsrhFR9ky,Wed Jun 06 14:13:09 +0000 2018,0.3612,0.36,0.435,0.205,69
69,BBCWorld,"🚓 US police chase stolen armoured personnel carrier 🚓 

https://t.co/Em4XXzkYL5 https://t.co/qnLGBOZOak",Wed Jun 06 14:00:21 +0000 2018,-0.4939,0.0,0.714,0.286,70
70,BBCWorld,Amazon and eBay pull CloudPets smart toys from sale https://t.co/4saBCNSp4i,Wed Jun 06 13:58:04 +0000 2018,0.5267,0.355,0.645,0.0,71
71,BBCWorld,"RT @BBCNewsNI: .@PresidentIRL apologises to women who were forced to work in Magdalene Laundries during ""a dark period in the country's his…",Wed Jun 06 13:34:08 +0000 2018,-0.296,0.073,0.806,0.121,72
